出表日期,資料年月,公司代號,公司名稱,產業別,營業收入-當月營收,營業收入-上月營收,營業收入-去年當月營收,營業收入-上月比較增減(%),營業收入-去年同月增減(%),累計營業收入-當月累計營收,累計營業收入-去年累計營收,累計營業收入-前期比較增減(%),備註
1100717,11006,9905,大華,其他," $824,913.00 ",827316,763777,-0.290457334,8.004430613,4267830,3522134,21.17171011,-
1100717,11006,9906,欣巴巴,建材營造, $13.00 ,12,8974,8.333333333,-99.85513706,40484,37957,6.657533525,兩期本月增減百分比差異大，係因今年度本月個案銷售尚未入帳。
1100717,11006,9907,統一實,其他," $3,689,667.00 ",3587546,2739695,2.846541898,34.67437069,18722758,13966175,34.05787913,-
1100717,11006,9908,大台北,油電燃氣業," $226,103.00 ",245281,251632,-7.818787432,-10.14537102,1670663,1977091,-15.49893252,-
1100717,11006,9910,豐泰,其他," $6,889,298.00 ",6034863,5488037,14.15831644,25.53300934,39034668,34025958,14.72026151,合併營收為本公司自結數
1100717,11006,9911,櫻花,其他," $523,171.00 ",599347,502032,-12.70983253,4.210687765,3615383,2989164,20.94963675,-
1100717,11006,9912,偉聯,電腦及週邊設備業," $64,311.00 ",50426,39283,27.53539841,63.71203829,304685,226562,34.48195196,去年6月受疫情影響，需求趨減，今年因疫情好轉，市場需求回升，故今年6月合併營收較去年同期增加 63.71%
1100717,11006,9914,美利達,其他," $2,511,684.00 ",2352838,2928789,6.751251042,-14.24155171,15297210,12863054,18.9236242,-
1100717,11006,9917,中保科,其他," $1,118,469.00 ",1161974,1182105,-3.744059678,-5.383278135,6991928,6730765,3.880138439,-
1100717,11006,9918,欣天然,油電燃氣業," $116,828.00 ",140543,156812,-16.87383932,-25.49804862,1026745,1223874,-16.10696853,-
1100717,11006,9919,康那香,其他," $308,440.00 ",454159,445526,-32.08545906,-30.76947249,2068076,2486969,-16.84351514,-
1100717,11006,9921,巨大,其他," $7,281,091.00 ",7192118,7571853,1.237090381,-3.840037571,41989549,33009610,27.20401422,-
1100717,11006,9924,福興,其他," $814,502.00 ",923458,754144,-11.79869577,8.003511266,4774357,4003220,19.26291835,-
1100717,11006,9925,新保,其他," $589,600.00 ",586994,596732,0.443956838,-1.195176394,3711030,3553547,4.431712877,-
1100717,11006,9926,新海,油電燃氣業," $154,153.00 ",168630,150479,-8.5850679,2.441536693,1129033,1239590,-8.918836067,-
1100717,11006,9927,泰銘,其他," $869,004.00 ",793893,574320,9.461098662,51.31007104,4453753,4075277,9.287123305,去年同期受疫情影響營收基期較低，近期LME鉛價上漲，售價及銷量均較去年同期增加。
1100717,11006,9928,中視,其他," $54,753.00 ",59610,64236,-8.147961751,-14.76274986,368802,360847,2.20453544,-
1100717,11006,9929,秋雨,其他," $45,373.00 ",44073,47076,2.949651714,-3.617554593,287530,399621,-28.04932674,-
1100717,11006,9930,中聯資源,其他," $867,290.00 ",924494,798309,-6.187601001,8.640889681,5287683,4935280,7.140486457,-
1100717,11006,9931,欣高,油電燃氣業," $89,622.00 ",93959,94619,-4.61584308,-5.281180313,626985,689294,-9.039539007,-
1100717,11006,9933,中鼎,其他," $6,119,927.00 ",5595081,3601374,9.380489755,69.93311442,30639250,24705860,24.01612411,集團109年簽約額較108年成長，致110年6月營收較109年同期增加。
1100717,11006,9934,成霖,其他," $1,565,595.00 ",1497688,1326800,4.534121927,17.99781429,9844218,7183427,37.04069102,-
1100717,11006,9935,慶豐富,其他," $445,454.00 ",342132,578613,30.19945518,-23.01348224,2427079,2318708,4.673766598,-
1100717,11006,9937,全國,油電燃氣業," $1,379,863.00 ",1589277,1440578,-13.17668349,-4.21462774,9779265,8784016,11.33022754,-
1100717,11006,9938,百和,其他," $1,328,818.00 ",1586447,924097,-16.23937011,43.79637635,10684053,7593332,40.70309319,-
1100717,11006,9939,宏全,其他," $2,038,488.00 ",2021324,1800921,0.849146401,13.19141706,11052923,9732503,13.56711629,-
1100717,11006,9940,信義,其他," $1,426,807.00 ",1053128,1133852,35.48277133,25.83714629,7713416,5292663,45.7379017,-
1100717,11006,9941,裕融,其他," $2,590,147.00 ",2662838,2480109,-2.729831856,4.436821124,15550390,14773904,5.255794271,-
1100717,11006,9942,茂順,其他," $325,308.00 ",324384,238985,0.284847588,36.12067703,1850245,1320571,40.1094678,-
1100717,11006,9943,好樂迪,觀光事業," $9,311.00 ",93315,244943,-90.0219686,-96.19870745,1053100,1353566,-22.19810486,配合防疫政策5/15起暫停營業
1100717,11006,9944,新麗,其他," $241,365.00 ",264328,178425,-8.687312733,35.27532577,1463170,1199383,21.99355835,-
1100717,11006,9945,潤泰新,其他," $1,928,395.00 ",2387135,1146071,-19.21717875,68.26139044,11611558,7708262,50.63782212,主係建案交屋認列及子公司潤弘業務正於大量施工階段，以致本月營收及本年累計營收均較去年同期增加。
1100717,11006,9946,三發地產,建材營造," $120,322.00 ",73576,104250,63.53430466,15.41678657,450730,951979,-52.65336735,"本年累計營收較去年累計減少約50,125萬，係因去年有大量交屋認列營收。"
1100717,11006,9955,佳龍,其他," $90,597.00 ",132154,113317,-31.44588889,-20.04994837,795581,730302,8.938630868,-
1100717,11006,9958,世紀鋼,鋼鐵工業," $907,264.00 ",1045395,580569,-13.21328302,56.27151984,4226330,2497967,69.19078595,本月及本年度增加百分比達50%以上，主因風力事業陸續投產，影響收入較同期增加。
